x,y,theta,kappa
18.486,34.173,1.3066,0.0035598
18.512,34.27,1.307,0.0035457
18.538,34.367,1.3074,0.0035317
18.564,34.462,1.3077,0.003518
18.59,34.558,1.3081,0.0035044
18.616,34.654,1.3084,0.0034908
18.641,34.75,1.3087,0.0034773
18.667,34.846,1.3091,0.0034639
18.693,34.943,1.3094,0.0034506
18.719,35.039,1.3098,0.0034373
18.745,35.136,1.3101,0.003424
18.77,35.232,1.3105,0.0034109
18.796,35.329,1.3108,0.0033978
18.822,35.426,1.3111,0.0033848
18.848,35.523,1.3115,0.0033718
18.873,35.621,1.3118,0.0033589
18.899,35.718,1.3122,0.0033461
18.925,35.816,1.3125,0.0033333
18.951,35.913,1.3128,0.0033206
18.976,36.01,1.3132,0.0033082
19.002,36.106,1.3135,0.0032958
19.027,36.202,1.3138,0.0032835
19.052,36.299,1.3141,0.0032712
19.078,36.396,1.3145,0.003259
19.103,36.493,1.3148,0.0032468
19.129,36.59,1.3151,0.0032348
19.154,36.687,1.3155,0.0032227
19.179,36.783,1.3158,0.0032109
19.204,36.879,1.3161,0.0031992
19.229,36.975,1.3164,0.0031875
19.254,37.071,1.3167,0.0031759
19.279,37.168,1.317,0.0031644
19.304,37.264,1.3174,0.0031529
19.329,37.361,1.3177,0.0031414
19.354,37.457,1.318,0.00313
19.379,37.554,1.3183,0.0031187
19.404,37.651,1.3186,0.0031074
19.429,37.748,1.3189,0.0030961
19.454,37.845,1.3192,0.003085
